Player,Pos,School,College,Ht,feet,inch,ht_inch,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Willie Drew,CB,Virginia St.,,Jun-00,6,1,73,191,4.46,,13,,,
Ethan Driskell,OT,Marshall,College Stats,8-Jun,6,8,80,313,,,,,,
Khalid Duke,EDGE,Kansas St.,College Stats,3-Jun,6,3,75,246,4.79,34,21,117,,
Justin Eboigbe,DT,Alabama,College Stats,4-Jun,6,4,76,297,5.18,28,,,,
Sevarian Edwards,RB,Georgia,,10-May,5,10,70,207,,,,114,,
Kingsley Eguakun,C,Florida,College Stats,4-Jun,6,4,76,304,,,,,,
Tommy Eichenberg,LB,Ohio St.,College Stats,2-Jun,6,2,74,233,,32.5,,116,,4.24
Jonah Elliss,EDGE,Utah,College Stats,2-Jun,6,2,74,248,,,,,,
Audric Estimé,RB,Notre Dame,College Stats,11-May,5,11,71,221,4.71,38,23,125,,
Josiah Ezirim,OT,Eastern Kentucky,,6-Jun,6,6,78,329,,,,,,
Olumuyiwa Fashanu,OT,Penn St.,,6-Jun,6,6,78,312,5.11,32,,109,,
Troy Fautanu,OT,Washington,College Stats,4-Jun,6,4,76,317,5.01,32.5,,113,,
Blake Fisher,OT,Notre Dame,College Stats,6-Jun,6,6,78,310,5.2,28,,114,7.76,4.73
Braden Fiske,DT,Florida St.,College Stats,4-Jun,6,4,76,292,4.78,33.5,26,117,,4.37
Jeremy Flax,OT,Kentucky,College Stats,6-Jun,6,6,78,343,5.64,28,,100,,
Ryan Flournoy,WR,Southeast Missouri St.,,1-Jun,6,1,73,202,4.44,39.5,19,132,,
Jaylan Ford,LB,Texas,College Stats,2-Jun,6,2,74,240,,33.5,,121,,
Javon Foster,OT,Missouri,College Stats,6-Jun,6,6,78,313,5.3,32.5,,106,,
Troy Franklin,WR,Oregon,College Stats,2-Jun,6,2,74,176,4.41,39,,124,6.9,4.31
Zach Frazier,C,West Virginia,College Stats,3-Jun,6,3,75,313,,,,,,
Taliese Fuaga,OT,Oregon St.,College Stats,6-Jun,6,6,78,324,5.13,32,,111,,
X'Zauvea Gadlin,G,Liberty,College Stats,3-Jun,6,3,75,322,5.5,24,,96,8.26,4.97
Nicholas Gargiulo,C,South Carolina,,5-Jun,6,5,77,318,5.25,32.5,,101,7.33,
Easton Gibbs,LB,Wyoming,College Stats,Jun-00,6,1,73,232,4.73,31.5,,109,,
Delmar Glaze,OT,Maryland,College Stats,4-Jun,6,4,76,315,5.21,25.5,,104,,
Matthew Goncalves,OT,Pittsburgh,,6-Jun,6,6,78,327,,,,,,
Franklin Gore,RB,Southern Mississippi,,8-May,5,8,68,201,,,12,,,
Anthony Gould,WR,Oregon St.,College Stats,8-May,5,8,68,174,4.39,39.5,,129,,4.16
