position,allpro_2014,allpro_2015,allpro_2016,allpro_2017,allpro_2018,allpro_2019,allpro_2020,allpro_2021,allpro_2022,allpro_2023
DE,Lane Johnson,Rodney Hudson,Brandon Graham,Travis Frederick,Cameron Jordan,Aaron Donald,Myles Garrett,Nick Bosa,Myles Garrett,Jason Kelce
DE,Sebastian Vollmer,Alex Mack,Cliff Avril,Daryl Williams,Myles Garrett,Cameron Heyward,Joey Bosa,Maxx Crosby,Maxx Crosby,Frank Ragnow
DE,J.J. Watt,Joe Berger,Aaron Donald,Demar Dotson,DeMarcus Lawrence,Grady Jarrett,Trey Hendrickson,Cameron Jordan,Brian Burns,Creed Humphrey
DT,Mario Williams,Ryan Schraeder,Damon Harrison,Cameron Jordan,Trey Flowers,Chris Jones,Cameron Jordan,Aaron Donald,Chris Jones,Kevin Dotson
DT,Robert Quinn,Mitchell Schwartz,Geno Atkins,Calais Campbell,Fletcher Cox,DeForest Buckner,Chase Young,Cameron Heyward,Dexter Lawrence,Lane Johnson
DT,Calais Campbell,Khalil Mack,Calais Campbell,Everson Griffen,Aaron Donald,D.J. Reader,DeMarcus Lawrence,Chris Jones,Quinnen Williams,Derrick Brown
DT,Fletcher Cox,J.J. Watt,Ndamukong Suh,DeMarcus Lawrence,Chris Jones,T.J. Watt,Aaron Donald,Jonathan Allen,Javon Hargrave,Justin Madubuike
DT,Cameron Wake,Olivier Vernon,Gerald McCoy,Joey Bosa,Geno Atkins,Chandler Jones,Chris Jones,Micah Parsons,Daron Payne,Myles Garrett
OLB,Ndamukong Suh,Ezekiel Ansah,Von Miller,Aaron Donald,Akiem Hicks,Shaquil Barrett,DeForest Buckner,T.J. Watt,Micah Parsons,Maxx Crosby
OLB,Marcell Dareus,Michael Bennett,Vic Beasley,Fletcher Cox,Khalil Mack,Matt Judon,Fletcher Cox,Robert Quinn,Haason Reddick,Trey Hendrickson
OLB,Gerald McCoy,Muhammad Wilkerson,Lorenzo Alexander,Geno Atkins,Von Miller,Bobby Wagner,Cameron Heyward,Matt Judon,Matt Judon,Nick Bosa
OLB,Aaron Donald,Cameron Jordan,Ryan Kerrigan,Cameron Heyward,Shaquille Leonard,Shaquille Leonard,T.J. Watt,De'Vondre Campbell,Matt Milano,Aidan Hutchinson
OLB,Sheldon Richardson,Aaron Donald,Bobby Wagner,Malik Jackson,Ryan Kerrigan,Demario Davis,Khalil Mack,Shaquille Leonard,Alex Highsmith,Aaron Donald
ILB,Kyle Williams,Geno Atkins,Dont'a Hightower,Ndamukong Suh,Bobby Wagner,Eric Kendricks,Za'Darius Smith,Demario Davis,Fred Warner,Chris Jones
ILB,Muhammad Wilkerson,Ndamukong Suh,Luke Kuechly,Kawann Short,C.J. Mosley,Luke Kuechly,Bradley Chubb,Roquan Smith,Roquan Smith,Dexter Lawrence
LB,Johnathan Hankins,Kawann Short,Sean Lee,Chandler Jones,Luke Kuechly,Lavonte David,Fred Warner,Lavonte David,Bobby Wagner,Quinnen Williams
LB,Justin Houston,Fletcher Cox,K.J. Wright,Von Miller,Leighton Vander Esch,Stephon Gilmore,Shaquille Leonard,Bobby Wagner,T.J. Edwards,Micah Parsons
LB,Von Miller,Linval Joseph,Paul Posluszny,Ryan Kerrigan,Zach Brown,Tre'Davious White,Bobby Wagner,Jalen Ramsey,C.J. Mosley,T.J. Watt
LB,Elvis Dumervil,Damon Harrison,Zach Brown,Jadeveon Clowney,Kyle Fuller,Marcus Peters,Roquan Smith,Trevon Diggs,Lavonte David,Danielle Hunter
LB,DeAndre Levy,Von Miller,Zach Orr,Luke Kuechly,Stephon Gilmore,Richard Sherman,Lavonte David,AJ Terrell,Demario Davis,Josh Allen
CB,Connor Barwin,Thomas Davis,Alec Ogletree,Ryan Shazier,Byron Jones,Marshon Lattimore,Devin White,J.C. Jackson,Patrick Surtain II,Fred Warner
CB,Bobby Wagner,Justin Houston,Lavonte David,Bobby Wagner,Patrick Peterson,Casey Hayward,Myles Jack,Xavien Howard,Sauce Gardner,Roquan Smith
CB,C.J. Mosley,Lavonte David,C.J. Mosley,Deion Jones,Xavien Howard,Quinton Dunbar,Eric Kendricks,Chidobe Awuzie,Darius Slay,Demario Davis
CB,Lawrence Timmons,Jamie Collins,Whitney Mercilus,Telvin Smith,Eddie Jackson,Jamal Adams,Demario Davis,Darius Slay,Jaire Alexander,Quincy Williams
CB,Luke Kuechly,NaVorro Bowman,Benardrick McKinney,Lavonte David,Derwin James,Minkah Fitzpatrick,Xavien Howard,Luke Rhodes,James Bradberry,Bobby Wagner
CB,C.J. Mosley,Bobby Wagner,Aqib Talib,C.J. Mosley,Jamal Adams,Anthony Harris,Jalen Ramsey,Josh Harris,Patrick Peterson,Patrick Queen
LS,Dont'a Hightower,Luke Kuechly,Marcus Peters,Jalen Ramsey,Harrison Smith,Justin Simmons,Jaire Alexander,Kevin Byard,Andrew DePaola,C.J. Mosley
LS,Jamie Collins,Derrick Johnson,Malcolm Butler,Xavier Rhodes,Kevin Byard,Harrison Smith,Tre'Davious White,Jordan Poyer,Morgan Cox,DaRon Bland
LS,Darrelle Revis,Anthony Barr,Jackrabbit Jenkins,Darius Slay,Desmond King,Tyrann Mathieu,James Bradberry,Derwin James,Nick Moore,Sauce Gardner
LS,Richard Sherman,K.J. Wright,Patrick Peterson,Casey Hayward,Kareem Jackson,Marlon Humphrey,Morgan Cox,Antoine Winfield Jr.,Zach Wood,Jaylon Johnson
DB,Chris Harris Jr.,Patrick Peterson,Casey Hayward,A.J. Bouye,Wil Lutz,Marcus Williams,Luke Rhodes,Budda Baker,Minkah Fitzpatrick,Patrick Surtain II
DB,Vontae Davis,Josh Norman,Landon Collins,Marshon Lattimore,Michael Dickson,Josh Lambo,Tyrann Mathieu,Quandre Diggs,Derwin James,Trent McDuffie
DB,Desmond Trufant,Richard Sherman,Eric Berry,Tre'Davious White,Thomas Morstead,Brett Kern,Minkah Fitzpatrick,Micah Hyde,Talanoa Hufanga,Devon Witherspoon
DB,Brent Grimes,Chris Harris Jr.,Eric Weddle,Harrison Smith,Brett Kern,Tress Way,Budda Baker,Marcus Williams,Ryan Neal,Kendall Fuller
S,Orlando Scandrick,Marcus Peters,Devin McCourty,Kevin Byard,Johnny Hekker,JK Scott,Jessie Bates III,Justin Simmons,C.J. Gardner-Johnson,Charvarius Ward
S,Sean Smith,Johnathan Joseph,Ha Ha Clinton-Dix,Earl Thomas,Tarik Cohen,Deonte Harty,Adrian Amos,Daniel Carlson,Justin Simmons,Taron Johnson
S,Jon Dorenbos,Tyrann Mathieu,Kam Chancellor,Adrian Amos,Andre Roberts,Diontae Johnson,Jamal Adams,Jake Elliott,Tyrann Mathieu,Ross Matiscik
PR,Eric Weddle,Eric Berry,Chris Harris Jr.,Eric Weddle,Richie James,Cordarrelle Patterson,Justin Simmons,AJ Cole III,Kamren Curl,Andrew DePaola
PR,Earl Thomas,Earl Thomas,Dominique Rodgers-Cromartie,Glover Quin,Cordarrelle Patterson,Mecole Hardman,John Johnson,Bryan Anger,Daniel Carlson,Mitchell Fraboni
KR,Harrison Smith,Harrison Smith,Johnny Hekker,Micah Hyde,Tremon Smith,Andre Roberts,Bryce Callahan,Devin Duvernay,Jason Myers,Jessie Bates III
KR,Glover Quin,Malcolm Jenkins,Pat McAfee,Lamarcus Joyner,Adrian Phillips,Matthew Slater,Darious Williams,Jakeem Grant,Justin Tucker,Kyle Hamilton
P,Devin McCourty,Reggie Nelson,Marquette King,Patrick Robinson,Albert McClellan,J.T. Gray,Jake Bailey,Braxton Berrios,Tommy Townsend,Antoine Winfield Jr.
P,Kam Chancellor,Charles Woodson,Marcus Sherels,Matt Prater,Cory Littleton,Justin Tucker,Jack Fox,Kene Nwangwu,Ryan Stonehouse,Jevon Holland
P,Matt Bryant,Johnny Hekker,Jamison Crowder,Robbie Gould,Aldrick Rosas,Wil Lutz,Bradley Pinion,Andre Roberts,Johnny Hekker,Justin Simmons
