Player,Class,Pos,School,weight,FT,IN,Height_IN,fty_dash,fty_pct_given_mass,Vertical,vrt_pct_given_mass,Bench,bch_pct_given_mass,broad_jump,bj_pct_given_mass,three_cone,three_pct_given_mass,Shuttle,shud_pct_given_mass,RAS
Benny LeMay,2020,RB,Charlotte,221,5,8,68,4.75,0.852289592,28.5,0.738164132,24,1.026752005,112,0.818075993,,0,,0,3.435281721
Dom Wood-Anderson,2020,TE,Tennessee,261,6,4,76,4.92,1.086096977,35,1.196544999,,0,119,1.147296054,,0,,0,3.42993803
Xavier McKinney,2020,S,Alabama,201,6,1,73,4.63,0.853724086,36,0.910391744,19,0.793643841,122,0.870067982,,0,,0,3.427827653
Jeff Okudah,2020,CB,Ohio State,205,6,1,73,4.48,0.899866978,41,1.057468575,11,0.468621854,135,0.981939948,,0,,0,3.407897355
Mekhi Becton,2020,OL,Louisville,364,6,7,79,5.1,1.518930514,,0,23,1.882822774,,0,,0,,0,3.401753288
Myles Bryant,2020,CB,Washington,183,5,8,68,4.62,0.725600603,31.5,0.675581033,,0,115,0.695556289,6.81,0.659141809,4.02,0.639917258,3.395796991
Terrell Burgess,2020,S,Utah,202,5,11,71,4.46,0.866272379,33.5,0.828059258,20,0.816568919,122,0.850440605,,0,,0,3.361341162
Kalija Lipscomb,2020,WR,Vanderbilt,207,6,1,73,4.57,0.890751605,32,0.833393437,16,0.688281854,127,0.932763118,,0,,0,3.345190014
Jerry Jeudy,2020,WR,Alabama,193,6,1,73,4.45,0.852903244,35,0.849875101,,0,120,0.821742699,,0,4.53,0.816424706,3.340945749
Brandon Aiyuk,2020,WR,Arizona State,205,6,1,73,4.5,0.89586757,40,1.031676658,11,0.468621854,128,0.931024543,,0,,0,3.327190625
Khalil Davis,2020,DL,Nebraska,308,6,1,73,4.75,1.275145008,,0,32,2.048220397,,0,,0,,0,3.323365404
J.R. Reed,2020,S,Georgia,202,6,1,73,4.54,0.874979715,34,0.864092108,15,0.629678145,130,0.931734165,,0,,0,3.300484134
Jake Hanson,2020,OL,Oregon,303,6,4,76,5.5,1.127906603,,0,33,2.163332587,,0,,0,,0,3.291239191
L'Jarius Sneed,2020,S,Louisiana Tech,192,6,1,73,4.37,0.864016945,41,0.990409592,12,0.478804768,131,0.892421086,,0,,0,3.225652391
Carter Coughlin,2020,LB,Minnesota,236,6,3,75,4.57,1.043365985,36,1.098203085,,0,126,1.083972465,,0,,0,3.225541535
Lamar Jackson,2020,CB,Nebraska,208,6,2,74,4.58,0.905334738,36.5,0.968266288,10,0.438175596,122,0.912702677,,0,,0,3.224479299
A.J. Terrell,2020,CB,Clemson,195,6,1,73,4.42,0.867590544,34.5,0.846415209,15,0.607857616,129,0.89252753,,0,,0,3.214390899
Donovan Peoples-Jones,2020,WR,Michigan,212,6,2,74,4.48,0.943342008,44.5,1.203190748,,0,139,1.059880299,,0,,0,3.206413056
Clyde Edwards-Helaire,2020,RB,LSU,207,5,7,67,4.6,0.812207367,39.5,0.944167693,15,0.592228821,123,0.82913395,,0,,0,3.177737832
Noah Igbinoghene,2020,CB,Auburn,198,5,10,70,4.48,0.833421739,37,0.883836324,15,0.591844507,128,0.862278661,,0,,0,3.171381231
K.J. Hill,2020,WR,Ohio State,196,6,1,73,4.6,0.837916433,32.5,0.801436623,17,0.692438145,114,0.792790106,,0,,0,3.124581308
LeVante Bellamy,2020,RB,Western Michigan,192,5,9,69,4.5,0.793080759,39.5,0.901891528,16,0.603425187,125,0.804886737,,0,,0,3.103284211
CeeDee Lamb,2020,WR,Oklahoma,198,6,2,74,4.5,0.877130079,34.5,0.871210091,11,0.458820408,124,0.883065736,,0,,0,3.090226314
James Pierre,2020,CB,Florida Atlantic,183,6,1,73,4.59,0.784044788,33.5,0.771304116,,0,123,0.798644491,7.02,0.729428633,,0,3.083422028
Raymond Calais,2020,RB,Louisiana-Lafayette,188,5,8,68,4.42,0.779155428,37.5,0.826237537,20,0.727863413,120,0.745628409,,0,,0,3.078884788
Aaron Fuller,2020,WR,Washington,188,5,11,71,4.59,0.783399194,34,0.782171535,,0,118,0.765548384,7.14,0.741286609,,0,3.072405722
McTelvin Agim,2020,DL,Arkansas,309,6,3,75,4.98,1.253631823,,0,27,1.781298239,,0,,0,,0,3.034930062
Geno Stone,2020,S,Iowa,207,5,10,70,4.62,0.844901377,33.5,0.836604285,12,0.494997224,116,0.816960038,,0,,0,2.993462924
Trevon Hill,2020,DL,Miami,248,6,3,75,4.89,1.024669226,28,0.897589715,,0,113,1.02156458,,0,,0,2.943823521
Mike Onwenu,2020,OL,Michigan,344,6,3,75,,1,,0,26,1.909616619,,0,,0,,0,2.909616619
Jalen Hurts,2020,QB,Oklahoma,222,6,1,73,4.59,0.9511363,35,0.977576541,,0,125,0.984601032,,0,,0,2.913313873
Lloyd Cushenberry,2020,OL,LSU,312,6,3,75,5.27,1.196147812,,0,25,1.665363331,,0,,0,,0,2.861511143
Leki Fotu,2020,DL,Utah,330,6,5,77,5.15,1.32915933,,0,21,1.519067567,,0,,0,,0,2.848226897
BoPete Keyes,2020,CB,Tulane,202,6,1,73,,1,36,0.914921056,,0,126,0.903065422,,0,,0,2.817986478
Rico Dowdle,2020,RB,South Carolina,213,5,11,71,4.54,0.89734967,38,0.990440614,,0,127,0.933503847,,0,,0,2.821294131
Jaylinn Hawkins,2020,S,California,208,6,1,73,,1,35.5,0.929012249,,0,117,0.863468494,,0,,0,2.792480743
Marquez Callaway,2020,WR,Tennessee,205,6,1,73,4.55,0.886022871,38,0.980092825,,0,126,0.916477285,,0,,0,2.782592981
Javon Leake,2020,RB,Maryland,215,6,1,73,4.65,0.909259768,34,0.919701996,,0,125,0.953555053,,0,,0,2.782516817
Justin Jefferson,2020,WR,LSU,202,6,1,73,4.43,0.896706074,37.5,0.953042766,,0,126,0.903065422,,0,,0,2.752814262
Javaris Davis,2020,CB,Auburn,183,5,8,68,4.39,0.763616124,35.5,0.761369101,11,0.389677939,124,0.749991129,,0,,0,2.664654293
Jauan Jennings,2020,WR,Tennessee,215,6,3,75,4.72,0.920316763,29,0.80594353,,0,119,0.932655216,,0,,0,2.65891551
Henry Ruggs III,2020,WR,Alabama,188,5,11,71,4.27,0.842108267,42,0.966211897,,0,131,0.84988846,,0,,0,2.658208624
Antoine Brooks Jr.,2020,S,Maryland,220,5,11,71,4.64,0.906865034,34.5,0.928767515,18,0.800399238,,0,,0,,0,2.636031786
Darnell Mooney,2020,WR,Tulane,176,5,10,70,4.38,0.757733006,37,0.785632288,9,0.315650404,124,0.742517736,,0,,0,2.601533434
D'Andre Swift,2020,RB,Georgia,212,5,8,68,4.48,0.866854819,35.5,0.882023221,,0,121,0.847821807,,0,,0,2.596699846
Marlon Davidson,2020,DL,Auburn,303,6,3,75,5.04,1.214655059,,0,21,1.358552163,,0,,0,,0,2.573207222
Ke'Shawn Vaughn,2020,RB,Vanderbilt,214,5,10,70,4.51,0.894777139,32,0.826168598,,0,117,0.851867626,,0,,0,2.572813363
Trishton Jackson,2020,WR,Syracuse,197,6,1,73,4.5,0.860906884,36,0.892274495,,0,117,0.817804295,,0,,0,2.570985674
Antoine Winfield Jr.,2020,S,Minnesota,203,5,9,69,4.45,0.847939225,36,0.869069526,,0,124,0.84419204,,0,,0,2.56120079
Stantley Thomas-Oliver,2020,CB,Florida International,192,6,1,73,4.48,0.842802243,34,0.821315271,,0,127,0.865171588,,0,,0,2.529289102
Broderick Washington,2020,DL,Texas Tech,305,6,2,74,,1,,0,23,1.477789331,,0,,0,,0,2.477789331
Julian Okwara,2020,DL,Notre Dame,252,6,4,76,,1,,0,27,1.4720787,,0,,0,,0,2.4720787
Salvon Ahmed,2020,RB,Washington,197,5,11,71,4.62,0.815571812,34.5,0.831669093,,0,120,0.815793536,,0,,0,2.463034441
Trevis Gipson,2020,DL,Tulsa,261,6,3,75,,1,,0,25,1.393140478,,0,,0,,0,2.393140478
Alex Pechin,2020,P,Bucknell,213,6,1,73,4.69,0.893118795,34,0.911146629,13,0.575438543,,0,,0,,0,2.379703967
Anthony McFarland,2020,RB,Maryland,208,5,8,68,4.44,0.858161221,29.5,0.71911965,,0,116,0.797452228,,0,,0,2.374733099
Jared Pinkney,2020,TE,Vanderbilt,257,6,4,76,4.96,1.060827201,,0,23,1.27887378,,0,,0,,0,2.339700981
Cohl Cabral,2020,OL,Arizona State,300,6,5,77,,1,,0,20,1.315210015,,0,,0,,0,2.315210015
Jeff Thomas,2020,WR,Miami,170,5,9,69,4.45,0.710096888,36.5,0.737900439,,0,125,0.712660132,,0,,0,2.160657459
Akeem Davis-Gaither,2020,LB,Appalachian State,224,6,1,73,,1,,0,21,0.977559735,,0,,0,,0,1.977559735
Sean McKeon,2020,TE,Michigan,242,6,5,77,,1,,0,18,0.954842471,,0,,0,,0,1.954842471
J.K. Dobbins,2020,RB,Ohio State,209,5,9,69,,1,,0,23,0.944226847,,0,,0,,0,1.944226847
Josh Uche,2020,LB,Michigan,245,6,1,73,,1,,0,18,0.916462251,,0,,0,,0,1.916462251
Chris Finke,2020,WR,Notre Dame,186,5,9,69,4.57,0.75652876,40,0.884767005,7,0.255748566,,0,,0,,0,1.897044331
Clay Johnston,2020,LB,Baylor,227,6,1,73,,1,,0,18,0.849130331,,0,,0,,0,1.849130331
Collin Johnson,2020,WR,Texas,222,6,6,78,,1,,0,17,0.838010828,,0,,0,,0,1.838010828
Lavert Hill,2020,CB,Michigan,190,5,10,70,,1,,0,21,0.795104236,,0,,0,,0,1.795104236
Laviska Shenault Jr.,2020,WR,Colorado,227,6,1,73,4.58,0.974681779,,0,17,0.801956424,,0,,0,,0,1.776638203
Quartney Davis,2020,WR,Texas A&M,201,6,1,73,4.54,0.870648132,35.5,0.897747414,,0,,0,,0,,0,1.768395546
Trystan Colon-Castillo,2020,OL,Missouri,313,6,3,75,,1,,0,11,0.735108455,,0,,0,,0,1.735108455
Markus Bailey,2020,LB,Purdue,235,6,1,73,,1,,0,15,0.732546357,,0,,0,,0,1.732546357
Mike Warren,2020,RB,Cincinnati,226,5,9,69,,1,,0,16,0.710281731,,0,,0,,0,1.710281731
Cameron Dantzler,2020,CB,Mississippi State,188,6,2,74,4.64,0.807702071,34.5,0.827209582,,0,,0,,0,,0,1.634911652
Javelin Guidry,2020,CB,Utah,191,5,9,69,4.29,0.827570067,,0,21,0.787870581,,0,,0,,0,1.615440648
Ashtyn Davis,2020,S,California,202,6,1,73,,1,,0,14,0.587699602,,0,,0,,0,1.587699602
Lynn Bowden,2020,WR,Kentucky,204,5,11,71,,1,,0,13,0.536024944,,0,,0,,0,1.536024944
KJ Hamler,2020,WR,Penn State,178,5,9,69,,1,,0,15,0.524461344,,0,,0,,0,1.524461344
Bryce Hall,2020,CB,Virginia,202,6,1,73,,1,,0,11,0.461763973,,0,,0,,0,1.461763973
A.J. Green,2020,CB,Oklahoma State,202,6,1,73,4.62,0.859828551,,0,13,0.545721059,,0,,0,,0,1.40554961
Josiah Scott,2020,CB,Michigan State,185,5,9,69,4.42,0.777997422,,0,17,0.617764392,,0,,0,,0,1.395761814
Saahdiq Charles,2020,OL,LSU,321,6,4,76,5.05,1.30138817,,0,,0,,0,,0,,0,1.30138817
Darnay Holmes,2020,CB,UCLA,195,5,10,70,4.48,0.820794137,,0,12,0.466301733,,0,,0,,0,1.287095869
Albert Okwuegbunam,2020,TE,Missouri,258,6,5,77,4.49,1.191910644,,0,,0,,0,,0,,0,1.191910644
Trajan Bandy,2020,CB,Miami,180,5,8,68,4.5,0.732737658,,0,10,0.348445251,,0,,0,,0,1.081182909
Jordyn Brooks,2020,LB,Texas Tech,240,6,1,73,4.54,1.039579859,,0,,0,,0,,0,,0,1.039579859
Ben Bartch,2020,OL,Saint John's (MN),309,6,6,78,,1,,0,,0,,0,,0,,0,1
Tyler Bass,2020,K,Georgia Southern,185,5,10,70,,1,,0,,0,,0,,0,,0,1
Tyler Biadasz,2020,OL,Wisconsin,314,6,4,76,,1,,0,,0,,0,,0,,0,1
Julian Blackmon,2020,S,Utah,187,6,1,73,,1,,0,,0,,0,,0,,0,1
Rodrigo Blankenship,2020,K,Georgia,190,6,1,73,,1,,0,,0,,0,,0,,0,1
Ben Bredeson,2020,OL,Michigan,315,6,5,77,,1,,0,,0,,0,,0,,0,1
Jacob Breeland,2020,TE,Oregon,252,6,5,77,,1,,0,,0,,0,,0,,0,1
Joe Burrow,2020,QB,LSU,221,6,3,75,,1,,0,,0,,0,,0,,0,1
Lawrence Cager,2020,WR,Georgia,220,6,5,77,,1,,0,,0,,0,,0,,0,1
Shyheim Carter,2020,S,Alabama,194,5,10,70,,1,,0,,0,,0,,0,,0,1
K'Lavon Chaisson,2020,LB,LSU,254,6,3,75,,1,,0,,0,,0,,0,,0,1
Joseph Charlton,2020,P,South Carolina,195,6,4,76,,1,,0,,0,,0,,0,,0,1
Grant Delpit,2020,S,LSU,213,6,2,74,,1,,0,,0,,0,,0,,0,1
Trevon Diggs,2020,CB,Alabama,205,6,1,73,,1,,0,,0,,0,,0,,0,1
Troy Dye,2020,LB,Oregon,231,6,3,75,,1,,0,,0,,0,,0,,0,1
Bryan Edwards,2020,WR,South Carolina,212,6,3,75,,1,,0,,0,,0,,0,,0,1
Tipa Galeai,2020,LB,Utah State,235,6,5,77,,1,,0,,0,,0,,0,,0,1
Anthony Gordon,2020,QB,Washington State,205,6,2,74,,1,,0,,0,,0,,0,,0,1
Tee Higgins,2020,WR,Clemson,216,6,4,76,,1,,0,,0,,0,,0,,0,1
Sterling Hofrichter,2020,P,Syracuse,196,5,10,70,,1,,0,,0,,0,,0,,0,1
Robert Hunt,2020,OL,Louisiana-Lafayette,323,6,5,77,,1,,0,,0,,0,,0,,0,1
Van Jefferson,2020,WR,Florida,200,6,1,73,,1,,0,,0,,0,,0,,0,1
Anfernee Jennings,2020,LB,Alabama,256,6,2,74,,1,,0,,0,,0,,0,,0,1
Tyler Johnson,2020,WR,Minnesota,206,6,1,73,,1,,0,,0,,0,,0,,0,1
Brandon Jones,2020,S,Texas,198,5,11,71,,1,,0,,0,,0,,0,,0,1
Khalid Kareem,2020,DL,Notre Dame,268,6,4,76,,1,,0,,0,,0,,0,,0,1
Solomon Kindley,2020,OL,Georgia,337,6,3,75,,1,,0,,0,,0,,0,,0,1
Javon Kinlaw,2020,DL,South Carolina,324,6,5,77,,1,,0,,0,,0,,0,,0,1
Jake Luton,2020,QB,Oregon State,224,6,6,78,,1,,0,,0,,0,,0,,0,1
Jordan Mack,2020,LB,Virginia,241,6,3,75,,1,,0,,0,,0,,0,,0,1
Kamal Martin,2020,LB,Minnesota,240,6,3,75,,1,,0,,0,,0,,0,,0,1
JJ Molson,2020,K,UCLA,182,5,11,71,,1,,0,,0,,0,,0,,0,1
Thaddeus Moss,2020,TE,LSU,250,6,2,74,,1,,0,,0,,0,,0,,0,1
Lucas Niang,2020,OL,TCU,315,6,6,78,,1,,0,,0,,0,,0,,0,1
Michael Pinckney,2020,LB,Miami,235,5,11,71,,1,,0,,0,,0,,0,,0,1
Amik Robertson,2020,CB,Louisiana Tech,187,5,8,68,,1,,0,,0,,0,,0,,0,1
Tua Tagovailoa,2020,QB,Alabama,217,6,1,73,,1,,0,,0,,0,,0,,0,1
Darrell Taylor,2020,LB,Tennessee,267,6,4,76,,1,,0,,0,,0,,0,,0,1
Prince Tega Wanogho,2020,OL,Auburn,308,6,5,77,,1,,0,,0,,0,,0,,0,1
Chase Young,2020,DL,Ohio State,264,6,5,77,,1,,0,,0,,0,,0,,0,1
Brian Cole II,2020,S,Mississippi State,213,6,2,74,4.52,0.939404197,,0,,0,,0,,0,,0,0.939404197
Damon Arnette,2020,CB,Ohio State,195,6,1,73,4.56,0.840953993,,0,,0,,0,,0,,0,0.840953993
Arryn Siposs,2020,P,Auburn,213,6,2,74,5.09,0.834205692,,0,,0,,0,,0,,0,0.834205692
Stanford Samuels,2020,CB,Florida State,187,6,1,73,4.65,0.790844542,,0,,0,,0,,0,,0,0.790844542
Tommy Townsend,2020,P,Florida,191,6,1,73,4.75,0.790755508,,0,,0,,0,,0,,0,0.790755508
Devon Johnson,2019,OT,Ferris State,338,6,7,79,5.16,1.394035065,27.5,1.265561858,26,1.976379185,89,1.155069821,8.34,1.732134401,5.28,1.803497237,9.326677567
Iosua Opeta,2019,OL,Weber State,301,6,4,76,5.02,1.227597453,33,1.301070769,39,2.539790103,112,1.245295875,8.06,1.434124564,4.94,1.445588897,9.193467662
Phil Haynes,2019,OL,Wake Forest,322,6,4,76,5.2,1.267785348,31,1.307489018,33,2.298987106,108,1.284599233,7.76,1.477076301,4.95,1.54957439,9.185511397
Renell Wren,2019,DL,Arizona State,318,6,5,77,5.01,1.316617815,32,1.350438204,30,2.091183924,118,1.404346549,7.65,1.456971395,4.53,1.418906618,9.038464505
Daylon Mack,2019,DL,Texas A&M,336,6,1,73,5.1,1.29560188,27,1.141386664,30,2.09477086,102,1.216008885,8.02,1.530059257,4.95,1.553120327,8.830947872
Oli Udoh,2019,OT,Elon,323,6,5,77,5.05,1.326726725,28.5,1.221644938,26,1.840855618,105,1.26927868,7.88,1.524372867,5.05,1.606654123,8.78953295
Kaleb McGary,2019,OT,Washington,317,6,7,79,5.05,1.335901949,33.5,1.445899317,23,1.639711042,111,1.351088418,7.66,1.492061994,4.58,1.467200947,8.731863667
Nate Herbig,2019,OL,Stanford,335,6,3,75,5.41,1.251089598,24,1.039259981,29,2.074231379,90,1.099064091,8.15,1.592705296,5.04,1.619848411,8.676198756
Max Scharping,2019,OT,Northern Illinois,327,6,6,78,,1,28,1.23085609,27,1.960465713,108,1.338876595,7.77,1.54147015,4.69,1.530216799,8.601885346
William Sweet,2019,OT,North Carolina,313,6,6,78,5.27,1.247980884,30.5,1.283351645,23,1.598526749,111,1.317153402,8.01,1.521048987,5,1.561516983,8.52957865
Garrett Bradbury,2019,OL,North Carolina State,306,6,3,75,4.92,1.256600404,31,1.226171665,34,2.221338473,104,1.160086754,7.41,1.322734383,4.53,1.329898999,8.516830678
Tytus Howard,2019,OT,Alabama State,322,6,5,77,5.05,1.322619212,29.5,1.260594782,21,1.482241687,103,1.241247139,8.34,1.60836418,4.87,1.544590379,8.459657378
Erik McCoy,2019,OL,Texas A&M,303,6,4,76,4.89,1.268606609,31,1.230339045,29,1.901110456,107,1.197607308,8.28,1.483058569,4.62,1.360930551,8.441652538
Trysten Hill,2019,DL,Central Florida,308,6,3,75,5.04,1.234698872,35,1.393435647,28,1.841294021,115,1.291172475,7.7,1.383484985,4.38,1.294266939,8.438352938
Albert Huggins,2019,DL,Clemson,305,6,3,75,5.12,1.203568325,25.5,1.005328918,35,2.279199174,101,1.12294094,7.84,1.394918745,4.84,1.416264051,8.422220153
Jackson Barton,2019,OT,Utah,310,6,7,79,5.18,1.273616373,27,1.139618371,25,1.742937947,109,1.297447286,7.85,1.495306382,4.66,1.459864235,8.408790593
Hjalte Froholdt,2019,OL,Arkansas,306,6,5,77,5.2,1.2206423,27.5,1.11673914,31,2.079347034,105,1.202474539,7.51,1.376333984,4.54,1.368377019,8.363914016
Andre Dillard,2019,OT,Washington State,315,6,5,77,4.96,1.317344039,29,1.212289013,24,1.657164619,118,1.391097997,7.44,1.403608403,4.4,1.365185675,8.346689745
Cody Ford,2019,OT,Oklahoma,329,6,4,76,5.21,1.292859631,28.5,1.228177798,19,1.352434444,104,1.263913255,8.27,1.608372892,4.87,1.557672737,8.303430756
Khalen Saunders,2019,DL,Western Illinois,324,6,1,73,5.01,1.271773445,30.5,1.243296187,27,1.817961854,101,1.161084114,7.57,1.392629193,4.62,1.397808294,8.284553086
Chris Lindstrom,2019,OL,Boston Col.,308,6,4,76,4.91,1.284288,30.5,1.23047003,25,1.665932686,117,1.331142683,7.61,1.385545239,4.54,1.359433378,8.256812016
Isaiah Prince,2019,OT,Ohio State,305,6,6,78,5.09,1.25908853,27,1.10704455,23,1.557669835,115,1.329739964,7.9,1.461817909,5.02,1.527692429,8.243053218
Michael Jordan,2019,OT,Ohio State,312,6,6,78,5.27,1.243993724,32.5,1.363136823,19,1.316303177,116,1.372086922,7.71,1.459403286,4.71,1.46624948,8.221173412
Dru Samia,2019,OT,Oklahoma,305,6,5,77,5.29,1.195954068,27.5,1.113089665,28,1.871982255,101,1.152886031,7.89,1.441249975,4.7,1.411972342,8.187134336
Elgton Jenkins,2019,OL,Mississippi State,310,6,4,76,,1,28,1.136946973,29,1.945030499,109,1.248177136,7.77,1.423862492,4.62,1.392371191,8.146388291
Dalton Risner,2019,OT,Kansas State,312,6,5,77,5.3,1.221093888,28.5,1.18004093,23,1.572991178,110,1.284435923,7.69,1.436955781,4.52,1.38906165,8.08457935
Dennis Daley,2019,OT,South Carolina,317,6,5,77,5.23,1.257268129,26.5,1.114814871,20,1.389738582,103,1.221973115,7.95,1.509346184,4.92,1.536218028,8.029358909
Ryan Bates,2019,OL,Penn State,306,6,4,76,5.09,1.230826518,27,1.082195379,28,1.853728734,102,1.152947759,7.45,1.347606312,4.53,1.347630986,8.014935687
Tyler Roemer,2019,OT,San Diego State,312,6,6,78,5.21,1.258319948,30.5,1.27925148,18,1.247024062,108,1.277460237,7.75,1.466974768,4.76,1.481814761,8.010845257
Nate Davis,2019,OL,Charlotte,316,6,3,75,5.23,1.220748685,26,1.062009951,23,1.551777011,107,1.232555723,7.94,1.463661311,4.83,1.464310727,7.995063409
Trey Pipkins,2019,OT,Sioux Falls,309,6,6,78,5.12,1.268126941,33.5,1.391569115,16,1.097807508,114,1.335464575,7.61,1.426623862,4.7,1.449067804,7.968659805
Javon Patterson,2019,OL,Mississippi,307,6,3,75,5.13,1.209099055,27.5,1.091287611,27,1.769768801,98,1.096731086,7.72,1.382574951,4.78,1.407878908,7.957340412
Michael Deiter,2019,OL,Wisconsin,309,6,5,77,5.23,1.225538965,28,1.148190973,21,1.422399631,105,1.214263505,7.88,1.458300978,4.81,1.463969565,7.932663617
Jerry Tillery,2019,DL,Notre Dame,295,6,6,78,4.93,1.257330085,32,1.269034676,23,1.506598693,115,1.286141932,7.45,1.333351446,4.33,1.274507168,7.926964
Deion Calhoun,2019,OL,Mississippi State,310,6,2,74,5.07,1.218891539,28.5,1.12679566,26,1.697930436,105,1.17073109,7.46,1.331079473,4.62,1.355729844,7.901158041
Mitch Hyatt,2019,OT,Clemson,303,6,5,77,,1,25.5,1.025369574,28,1.859706961,102,1.156665985,7.72,1.400949237,4.52,1.348992564,7.791684321
Tyler Jones,2019,OT,North Carolina State,306,6,3,75,,1,31.5,1.245948627,23,1.502670144,111,1.238169516,7.75,1.383426649,4.82,1.415036021,7.785250957
Paul Adams,2019,OT,Missouri,317,6,6,78,5.18,1.285889687,27,1.150600401,16,1.126229708,103,1.237842896,7.68,1.477021544,4.74,1.499235903,7.776820138
Jonah Williams,2019,OT,Alabama,302,6,4,76,5.12,1.207619681,28,1.107606406,23,1.502801095,100,1.115565241,8.01,1.429962987,4.79,1.40635129,7.7699067
Terry Beckner,2019,DL,Missouri,296,6,4,76,5.19,1.167663093,24.5,0.949900858,28,1.793149363,98,1.07153366,7.97,1.394554109,4.82,1.387043587,7.76384467
Rashan Gary,2019,DL,Michigan,277,6,4,76,4.58,1.23824759,38,1.378744681,26,1.558187948,120,1.22786055,7.26,1.188780649,4.29,1.155283101,7.74710452
Kevin Givens,2019,DL,Penn State,285,6,1,73,5.08,1.10327459,31,1.111568692,32,1.895268873,115,1.162893651,7.63,1.234707264,4.62,1.229553592,7.737266662
Andre James,2019,OT,UCLA,299,6,4,76,5.32,1.150675209,29,1.135768111,21,1.358492381,105,1.159707641,8,1.413990568,4.84,1.406915161,7.625549069
John Cominsky,2019,DL,Charleston,286,6,5,77,4.69,1.264921352,33.5,1.27147685,22,1.379216902,116,1.241621392,7.03,1.204158979,4.38,1.233867815,7.59526329
Yosh Nijman,2019,OT,Virginia Tech,324,6,7,79,,1,,0,27,1.967383376,114,1.418245426,8.07,1.606635583,4.5,1.473405825,7.46567021
L.J. Collier,2019,DL,TCU,283,6,2,74,4.91,1.148990059,30,1.082795151,25,1.490429012,118,1.201087373,7.71,1.25586882,4.78,1.280512491,7.459682905
Demarcus Christmas,2019,DL,Florida State,294,6,3,75,5.08,1.169296069,25.5,0.969071154,22,1.380970516,101,1.08244143,8.13,1.394347057,5.07,1.430060201,7.426186427
Isaiah Buggs,2019,DL,Alabama,306,6,3,75,5.15,1.200480386,24.5,0.969071154,20,1.30666969,96,1.070849311,8.01,1.429838382,4.83,1.41797178,7.394880704
Zach Allen,2019,DL,Boston Col.,281,6,4,76,5,1.150613634,32,1.177814191,24,1.459097407,112,1.162551963,7.34,1.21923583,4.36,1.191088876,7.360401901
Nick Bosa,2019,DL,Ohio State,266,6,4,76,4.79,1.136944653,33.5,1.167204432,29,1.668961654,116,1.139797387,7.1,1.116414125,4.14,1.070615033,7.299937284
Montez Sweat,2019,EDGE,Mississippi State,260,6,6,78,4.41,1.238822171,36,1.258280145,21,1.212384505,125,1.232118285,7,1.104174557,4.29,1.112917599,7.15869726
Anthony Nelson,2019,DL,Iowa,271,6,7,79,4.82,1.196544767,35.5,1.309880351,18,1.097038878,118,1.227871243,6.95,1.157318597,4.23,1.158442592,7.147096428
Josh Allen,2019,EDGE,Kentucky,262,6,5,77,4.63,1.173790617,26.35,0.916177302,28,1.608063445,118,1.157040238,7.15,1.121940442,4.23,1.09161665,7.068628695
Joshua Miles,2019,OT,Morgan State,314,6,5,77,5.32,1.224301408,36,1.500133005,,0,109,1.280917945,8.07,1.517629126,4.75,1.469101324,6.992082808
Connor McGovern,2019,OL,Penn State,308,6,5,77,,1,,0,28,1.890395195,112,1.291022773,7.66,1.412999331,4.57,1.386421897,6.980839196
Daniel Wise,2019,DL,Kansas,281,6,3,75,5.28,1.075259452,27.5,0.998865859,22,1.319907194,112,1.147255226,7.53,1.234338583,4.37,1.178112564,6.953738878
Christian Wilkins,2019,DL,Clemson,315,6,3,75,5.04,1.26276021,29.5,1.201159624,28,1.883141612,107,1.22865523,,0,4.55,1.375057886,6.950774563
Kendall Blanton,2019,TE,Missouri,262,6,6,78,4.95,1.112167764,31,1.091853775,22,1.279887232,113,1.12240289,7.37,1.17148067,4.42,1.155462701,6.933255031
Justin Hollins,2019,EDGE,Oregon,248,6,5,77,4.5,1.143166529,36.5,1.201274236,25,1.359050349,119,1.104495132,7.06,1.048621727,4.4,1.074812849,6.931420822
Trevon Wesco,2019,TE,West Virginia,267,6,3,75,4.89,1.10317211,31,1.069894884,24,1.368160029,117,1.13876163,7.18,1.118326752,4.38,1.121978158,6.920293562
Ben Banogu,2019,EDGE,TCU,250,6,3,75,4.62,1.093298883,40,1.292611917,23,1.227671686,134,1.221182323,7.02,1.023788222,4.27,1.024157888,6.88271092
Wyatt Ray,2019,EDGE,Boston Col.,257,6,3,75,4.83,1.075045545,34,1.129484293,25,1.371789667,118,1.105479855,7.34,1.100429417,4.31,1.062696926,6.844925703
Chris Slayton,2019,DL,Syracuse,307,6,4,76,5.13,1.225220376,29,1.166156555,28,1.859786671,101,1.145375213,,0,4.73,1.411727503,6.808266318
Gerri Green,2019,EDGE,Mississippi State,252,6,4,76,4.63,1.114327248,35,1.155284827,24,1.3085144,114,1.061190671,7.27,1.082979632,4.42,1.082864633,6.805161411
Foster Moreau,2019,TE,LSU,253,6,4,76,4.66,1.111546933,36.5,1.209577974,22,1.204231341,121,1.13082115,7.16,1.070825934,4.11,1.010912816,6.737916149
Oshane Ximines,2019,EDGE,Old Dominion,253,6,3,75,4.78,1.069383542,34,1.111904771,24,1.2964213,118,1.088273943,7.13,1.052308454,4.57,1.109266128,6.727558138
