Player,Class,Pos,School,weight,FT,IN,Height_IN,fty_dash,fty_pct_given_mass,Vertical,vrt_pct_given_mass,Bench,bch_pct_given_mass,broad_jump,bj_pct_given_mass,three_cone,three_pct_given_mass,Shuttle,shud_pct_given_mass,RAS
Dylan Parham,2022,OG,Memphis,311,6,3,75,4.93,1.274542557,26.5,1.065306111,,0,108,1.224390205,7.78,1.411474363,4.7,1.402352773,6.37806601
Joshua Ezeudu,2022,OG,North Carolina,308,6,4,76,5.19,1.215000786,28.5,1.149783471,,0,105,1.194615229,7.83,1.425600424,4.56,1.365422071,6.35042198
Cade Mays,2022,OG,Tennessee,311,6,5,77,5.24,1.231117303,26,1.073078156,,0,102,1.187205021,7.57,1.409998786,4.71,1.442812142,6.344211408
Tyrese Robinson,2022,OG,Oklahoma,317,6,3,75,5.25,1.219946626,22.5,0.92195545,,0,100,1.155566557,8.35,1.544111815,4.94,1.502398848,6.343979295
Luke Wattenberg,2022,C,Washington,299,6,4,76,5.2,1.177229252,29.5,1.155350319,,0,113,1.248066318,7.45,1.316778717,4.57,1.328430224,6.22585483
Luke Fortner,2022,C,Kentucky,307,6,4,76,5.21,1.206407011,24,0.96509508,,0,102,1.156715562,7.75,1.40645362,4.95,1.477389248,6.212060521
Jake Ferguson,2022,TE,Wisconsin,250,6,5,77,4.81,1.078115439,31.5,1.045076735,15,0.822006259,118,1.104046029,7.03,1.05258652,4.48,1.103180344,6.205011326
Cole Turner,2022,TE,Nevada,246,6,6,78,4.76,1.085931335,27,0.892894949,17,0.928606593,120,1.119142516,7.06,1.053673738,4.41,1.082445568,6.162694699
Greg Dulcich,2022,TE,UCLA,243,6,4,76,4.69,1.060783195,34,1.082195379,16,0.841187829,122,1.095100899,7.05,1.012699808,4.37,1.032378782,6.124345892
Travon Walker,2022,DE,Georgia,272,6,5,77,4.51,1.251015514,35.5,1.281429962,,0,123,1.252100473,6.89,1.122407593,4.32,1.157393778,6.064347319
Thomas Booker,2022,DT,Stanford,301,6,3,75,4.94,1.231063395,26.35,1.025215753,,0,110,1.206965574,7.33,1.287073885,4.41,1.27351515,6.023833757
Ed Ingram,2022,OG,LSU,307,6,3,75,5.02,1.235593257,20.5,0.81350531,,0,102,1.14149562,7.81,1.398693053,4.76,1.401988202,5.991275442
George Karlaftis,2022,EDGE,Purdue,266,6,4,76,,1,38,1.323993087,21,1.208558439,121,1.188926585,,0,4.36,1.127507619,5.848985731
Jeremiah Moon,2022,LB,Florida,249,6,5,77,4.76,1.085082421,40.5,1.338295407,,0,133,1.2394133,7.09,1.057323908,4.55,1.115935867,5.836050902
Jeremiah Hall,2022,TE,Oklahoma,239,6,2,74,4.96,0.960566756,29,0.883963862,19,0.956613165,111,0.954172813,7.43,1.022092448,4.62,1.045223976,5.822633021
Curtis Hodges,2022,TE,Arizona St.,257,6,8,80,4.85,1.141986526,34.5,1.222500647,,0,117,1.169185474,7.14,1.141807962,4.28,1.125653294,5.801133902
Terrel Bernard,2022,LB,Baylor,224,6,1,73,,1,35.5,1.00047473,22,1.024110198,123,0.97757577,7.03,0.894124404,4.25,0.888991433,5.785276535
Aidan Hutchinson,2022,DE,Michigan,260,6,7,79,4.74,1.167351661,36,1.274411941,,0,117,1.168048134,6.73,1.075195031,4.15,1.090401156,5.775407922
